horizon,actual,persistence_naive,seasonal_naive_168h,xgboost,prophet
1,117.16,47.84,131.81,98.11018,138.2826910420825
2,144.12,47.84,140.9,101.13956,138.97197465853893
3,149.68,47.84,144.49,106.3694,126.16595768293575
4,149.66,47.84,144.93,108.64219,109.51343255171405
5,138.2,47.84,139.32,108.85044,97.93660726250576
6,147.45,47.84,129.73,101.03001,93.71197647190577
7,138.48,47.84,124.6,100.54871,92.87307235799506
8,128.86,47.84,120.57,100.05063,90.92168894559
9,123.53,47.84,121.48,101.06486,88.01114097585886
10,131.27,47.84,123.54,99.37342,88.61953019353523
11,138.79,47.84,134.24,97.82781,96.30516937859
12,149.31,47.84,149.84,98.018936,108.94388979025919
13,150.53,47.84,159.43,101.560425,119.27466583002001
14,131.0,47.84,138.99,103.30127,120.34979260870433
15,92.72,47.84,122.61,94.96045,110.82242603473583
16,60.27,47.84,100.02,90.585884,95.40056705511896
17,15.79,47.84,74.12,77.65127,80.6295820200405
18,7.66,47.84,50.62,61.879616,70.47632148151735
19,0.02,47.84,32.9,54.36602,65.7488683908038
20,0.01,47.84,38.54,51.687492,66.9139707827238
21,0.96,47.84,63.97,57.60514,76.177616322257
22,15.11,47.84,90.95,63.847664,95.67764294312958
23,74.76,47.84,121.53,69.7159,123.26703743281759
24,118.41,47.84,140.0,93.4202,150.70912105244133
25,158.76,47.84,165.96,111.982155,167.40478441838604
26,178.24,47.84,183.0,127.213165,167.41169866539775
27,179.73,47.84,168.8,132.00082,153.7957790619392
28,174.82,47.84,159.07,133.19519,136.2162438179616
29,159.47,47.84,144.07,135.35275,123.60655980703257
30,148.78,47.84,139.64,130.88884,118.25518179817993
31,149.52,47.84,133.89,124.658745,116.20816524007415
32,143.39,47.84,127.35,124.889694,112.98024796276867
33,138.87,47.84,127.22,121.08319,108.73796358983104
34,139.25,47.84,127.65,118.62915,107.97276124625802
35,144.91,47.84,135.02,118.518906,114.25628362106934
36,157.65,47.84,145.81,114.82494,125.47753076953575
37,154.43,47.84,152.27,115.98775,134.3883451192753
38,145.38,47.84,135.67,114.23846,134.05345498118191
39,114.95,47.84,121.89,101.3296,123.13788771832269
40,83.69,47.84,107.48,96.216125,106.3608356223403
41,43.64,47.84,91.69,88.41718,90.27806780514604
42,7.05,47.84,64.04,66.61634,78.86595158355848
43,1.01,47.84,51.82,61.814865,72.94111538098963
44,1.0,47.84,57.73,60.021984,72.97780911829847
45,13.67,47.84,70.0,62.69658,81.18842018094698
46,62.23,47.84,93.26,72.48388,99.7160397469444
47,102.57,47.84,117.44,94.30852,126.41773168975124
48,135.37,47.84,138.3,99.3159,153.05970333252193
